tOut,tSoOut,wind
3.805458352,9.532321402,14.23947633
3.782240627,9.532048903,14.30616296
3.756877097,9.531776406,14.35705637
3.729309084,9.53150391,14.38798147
3.696523558,9.531231416,14.39613955
3.626523515,9.530958923,14.36435156
3.508801579,9.530686432,14.29098492
3.33112076,9.530413942,14.16247849
3.125209487,9.530141454,14.00423715
2.893827665,9.529868967,13.81261485
2.655081766,9.529596482,13.60307592
2.418291635,9.529323998,13.37916116
2.195628865,9.529051515,13.14807111
1.999265049,9.528779034,12.9170063
1.841570287,9.528506555,12.69322585
1.739212122,9.528234077,12.48554743
1.704685177,9.527961601,12.3001831
1.71659606,9.527689126,12.11452991
1.754890937,9.527416653,11.91227456
1.811135677,9.527144181,11.69877186
1.887156421,9.52687171,11.47837434
1.980194931,9.526599242,11.26057736
2.076437421,9.526326774,11.04699106
2.182311806,9.526054308,10.84606306
2.292592591,9.525781844,10.67396614
2.401993613,9.525509381,10.52772208
2.508444136,9.525236919,10.41108403
2.609943705,9.524964459,10.32939418
2.699879097,9.524692002,10.34288135
2.78981449,9.524419544,10.35636851
2.885936006,9.524147089,10.45137429
2.988870296,9.523874635,10.62009768
3.093939393,9.523602182,10.82274714
3.199356097,9.523329731,11.05273862
3.299446469,9.523057283,11.30020467
3.398450361,9.522784834,11.5459605
3.482079365,9.522512389,11.76751481
3.563307952,9.522239943,11.98223501
3.623170528,9.5219675,12.13612507
3.666825109,9.521695059,12.23573848
3.697853201,9.521422618,12.29317312
3.713239991,9.52115018,12.29864218
3.725519417,9.520877743,12.3
3.73613111,9.520605307,12.3
3.745259999,9.520332872,12.3
3.752855603,9.52006044,12.3
3.760185311,9.519788009,12.3
3.766484597,9.51951558,12.3
3.772734593,9.519243151,12.3
3.778968149,9.518970725,12.3
3.785364455,9.5186983,12.3
3.792606876,9.518425877,12.3
3.800472694,9.518153455,12.2770376
3.810073291,9.517881035,12.19017586
3.819673888,9.517608616,12.10331413
3.829777257,9.517336198,11.96756927
3.840723507,9.517063783,11.74987345
3.851669757,9.516791368,11.53217763
