tAir,tTop
19.03282046,18.55070302
19.03559063,18.5500109
19.03542982,18.54402059
19.03030614,18.52462771
19.02251835,18.49671883
19.01289528,18.44236577
19.00844513,18.3544004
19.01246389,18.17951426
19.03107059,17.86288124
19.08173082,17.29135367
19.18480462,16.32384397
20.25722736,10.55436508
21.00155711,9.614860378
21.34409992,9.531677095
21.44303332,9.496761667
21.38231264,9.422478031
21.20565604,9.33195755
20.96459019,9.22114074
20.68224565,9.101014511
20.37427695,8.991897368
20.05875185,8.900415223
19.74489583,8.825135544
19.43782811,8.763341079
19.14069274,8.713467631
18.86721576,8.677417603
18.60555232,8.646979532
18.39458026,8.634376571
18.2645784,8.646529571
18.21832415,8.672751787
18.20700397,8.685852511
18.19608821,8.669440086
18.17630359,8.626848802
18.15684752,8.567787752
18.14457251,8.500401161
18.14168144,8.425916584
18.14624385,8.345192063
18.15330192,8.257944499
18.15913772,8.165562063
18.15766736,8.067811809
18.15258199,7.969847734
18.1450065,7.873012285
18.1397178,7.783018836
18.13927714,7.69524977
18.14147991,7.605163293
18.14518744,7.507876519
18.14498608,7.398483346
18.13963377,7.287728363
18.13381503,7.181472734
18.13072132,7.079737603
18.13137578,6.986995207
18.13407058,6.905337816
18.137448,6.837573692
18.14048672,6.787723632
18.14300673,6.750807424
18.14454856,6.744091525
18.14613941,6.748836847
18.14806642,6.76895701
18.15046152,6.797515179
18.15283892,6.832143809
18.15454448,6.871703515
18.15514503,6.914394009
18.15477692,6.956716616
18.15426424,6.997737268
18.15339502,7.033895219
18.15260445,7.064658598
18.15190366,7.089265914
18.15192959,7.107984203
18.152883,7.1252626
18.15517415,7.144161319
18.15935517,7.171002915
18.16387908,7.203007
18.16835441,7.239857293
18.17138894,7.282082319
18.17246278,7.326555035
18.17283884,7.371827664
18.17122776,7.410460065
18.16899121,7.447002375
18.16533875,7.459985883
18.16129542,7.466465691
18.15703032,7.444559643
18.15299914,7.409076666
18.14982476,7.356758471
18.14776256,7.294548352
18.14665312,7.224581858
18.14588957,7.150897913
18.14519915,7.078030494
18.14459003,7.008993226
18.14411687,6.946639113
18.14455157,6.902716547
18.14655454,6.869736462
18.35224523,6.965236285
18.86565268,7.208994842
19.43092779,7.454259801
19.75024712,7.570156428
19.84309197,7.594341226
19.80522211,7.569392507
19.65372906,7.50230652
19.4429375,7.413532174
19.20342267,7.316431428
19.01522683,7.248993445
