tAir,tTop
16.5,16.5
16.23178538,10.25595121
16.08825324,8.851626343
16.27208702,8.633503215
16.756165,8.673870948
17.47274197,8.751495548
18.3473842,8.958327349
19.29009706,9.288335482
19.94296746,9.47081136
20.25297289,9.525489179
20.34600469,9.512082916
20.28216661,9.451097541
20.09813702,9.354642608
19.86219007,9.243132333
19.58935888,9.121306858
19.29744968,8.994828448
19.03522704,8.885674135
18.92933133,8.848811627
19.03162222,8.88914246
19.19181641,8.930770338
19.25835843,8.922717198
19.2311031,8.882849379
19.15459271,8.831959509
19.08926429,8.7927388
19.06264915,8.772036772
19.09741236,8.77451814
19.15525947,8.779972784
19.19228705,8.771517167
19.18184462,8.74374145
19.14542642,8.709039669
19.11313197,8.679459372
19.10735142,8.661639553
19.12776696,8.652896373
19.15418528,8.644271271
19.16700796,8.629529966
19.15875302,8.607916916
19.13515009,8.583374189
19.11087424,8.560834801
19.09936583,8.541910262
19.10338836,8.523417211
19.11279861,8.501331991
19.11750826,8.473719347
19.11351575,8.441753169
19.10427461,8.409340246
19.09730311,8.381281919
19.09532164,8.358615557
19.09883409,8.34182299
19.1069737,8.330944364
19.11731196,8.329420473
19.12681866,8.330620296
19.13398232,8.339494561
19.13896801,8.3528397
19.14173747,8.370734274
19.14408915,8.394291654
19.1462858,8.41995042
19.14998007,8.449564909
19.15326586,8.478548326
19.15464949,8.504335865
19.15508199,8.528136205
19.14876615,8.5378373
19.14218108,8.546439415
19.13051361,8.534295967
19.11884614,8.52215252
19.11232462,8.497727993
19.10592379,8.473015454
19.10775744,8.446201511
19.11046694,8.419164056
19.11377644,8.392212092
19.11720828,8.365277559
19.11660551,8.340494903
19.11471055,8.316401449
19.1133301,8.29777314
19.11249872,8.284976993
19.11283916,8.275565413
19.11758533,8.278878786
19.12233151,8.28219216
19.12627698,8.295626955
19.1301681,8.309748753
19.12984322,8.324959021
19.12737326,8.340723102
19.12434817,8.354910159
19.12045159,8.366621446
19.11711736,8.377148154
19.11809117,8.378599869
19.11906499,8.380051583
19.12215449,8.376906366
19.12683866,8.370296276
19.13005951,8.363538762
19.13218406,8.356670801
19.13203723,8.349919585
19.13019898,8.343255305
19.12822507,8.334685747
19.12615076,8.32470597
19.12532353,8.310639987
19.12541376,8.293567831
19.12470351,8.268988269
19.12340793,8.238919037
19.11843595,8.192606396
19.10364216,8.105762361
19.0828084,7.980809286
19.06633113,7.826550598
19.06060233,7.658383265
19.06551102,7.485798112
19.07425871,7.315041124
19.08015968,7.151695496
19.07948265,7.003434428
19.07546666,6.880708881
19.07621414,6.796415087
19.08531206,6.750253299
19.10633767,6.760478145
19.13094806,6.812928505
19.15022546,6.899237658
19.15936018,7.010569183
19.16234611,7.145514285
19.16636299,7.299836586
19.17411898,7.46585205
19.18449852,7.633964177
19.1926779,7.794206382
19.19551456,7.939045838
19.19027611,8.060798908
19.17334784,8.13717155
19.15379536,8.181544397
19.13656696,8.20928851
19.12948262,8.231493712
19.1342383,8.256593879
19.14494926,8.279716964
19.15458916,8.298955719
19.15647406,8.311655329
19.15189424,8.320785927
19.14534355,8.328850601
19.14171674,8.337897141
19.14420252,8.348773518
19.15261649,8.360927818
19.16402376,8.366960891
19.17518379,8.365312457
19.18504622,8.353386514
19.19072512,8.32490566
19.19429019,8.28998417
19.19579175,8.249160368
19.19555604,8.204624317
19.1948524,8.160294381
19.19362183,8.117588667
19.19146405,8.080079696
19.18752906,8.051491311
19.17985406,8.027920135
19.16579142,7.998719624
19.14053612,7.948086692
19.10409838,7.86769594
19.06917922,7.771979465
19.04739348,7.674692067
19.04293365,7.582396256
19.05048582,7.497214356
19.06040923,7.419619881
19.06628645,7.351157092
19.06814657,7.296329008
19.07276594,7.260784202
19.08743687,7.24897485
19.11257709,7.264041798
19.14107506,7.303403391
19.16232086,7.371357182
19.17494614,7.45633581
19.18024037,7.555739552
19.18073368,7.667618892
19.18426175,7.791083567
19.19124322,7.917141886
19.19946816,8.041517288
19.20540966,8.155852891
19.19977445,8.245555432
19.18522313,8.315718017
19.16104935,8.364508034
19.13599493,8.396230412
19.12063694,8.428345785
19.11569491,8.461712474
19.12702321,8.498385405
19.13919837,8.531158437
19.1466922,8.560592183
19.1413811,8.587891438
19.11820553,8.639659577
19.08468623,8.771038924
19.05419929,8.963826953
19.04697012,9.159038167
19.09484055,9.18482725
19.1636967,9.085064884
19.20388975,8.940521689
19.18822048,8.771737195
19.14106416,8.611339943
19.09280066,8.48307916
19.07839543,8.399914174
19.09544759,8.344641587
19.12392974,8.303792069
19.13845103,8.266575786
19.12830677,8.231308875
19.10648925,8.205348599
19.09347794,8.196261365
19.09873815,8.201499217
19.11535051,8.213591913
19.12853976,8.226383927
19.13060563,8.225415811
19.12380483,8.220852223
19.11354908,8.220890908
19.10601246,8.227049384
19.10512896,8.236779869
19.11034338,8.246154544
19.11526386,8.25231094
19.11903285,8.255511746
19.1037078,8.245732211
19.04354183,8.216919649
18.94291047,8.174596793
18.82165477,8.12735617
18.70857399,8.084820688
18.61807124,8.049843539
18.54817391,8.019559612
18.48673299,7.988749425
18.42181592,7.95381999
18.34415069,7.912726368
18.25207615,7.866429607
18.15617677,7.818540773
18.08274237,7.768609515
18.05352734,7.712393872
18.08137378,7.638252072
18.12457522,7.542043299
18.14534123,7.41787244
18.13874165,7.277571903
18.1143674,7.13232334
18.09153212,6.996400845
18.08508806,6.880594296
18.09681837,6.790370306
18.11689863,6.72940294
18.13272919,6.701200087
18.13893753,6.701770301
18.13675449,6.723642221
18.13219701,6.759247971
18.13102545,6.809133778
18.13489803,6.872155232
18.13942844,6.937595243
18.14593643,7.010305986
