Dry Weight[g/m^2],CO2 concentration[ppm],Air Temperature[^oC],Relative Humidity[%],Top CO2 concentration[ppm],Top Air Temperature[^oC],Top Relative Humidity[%]
3.5,0.5371205765710799,15.0,62.63102896351287,0.45655249008541793,13.0,88.47657843534513
3.499166010209923,0.5321427485369089,14.97524482908445,65.87971655417681,0.428762184240685,11.742484834861328,81.05931073633943
3.4983531686458296,0.48252278043849367,14.303193615658875,70.42711809205132,0.4761652861205596,12.004767376113936,80.33848175467841
3.497558862092343,0.4822628360513529,14.28026634864309,72.30884449924947,0.4763516116953037,11.657002494322311,82.19304140577505
3.4967660719546645,0.4820211722704776,14.254726378038294,73.89386380076014,0.4765105371163286,11.388745693593506,83.77452283626525
3.4959749195049152,0.48179654682389844,14.227237720291939,75.23395301761565,0.47664566050322676,11.18162733269213,85.13692557579726
3.4951854927476247,0.4815830789001493,14.198316561528504,76.37149227531876,0.4767600263710701,11.021622154193482,86.32353098710364
3.49439785528468,0.4813842685290883,14.168342845077065,77.3415361431806,0.4768559219856557,10.894908317011655,87.38465134870806
3.493612052477843,0.48120468328902577,14.13757655155257,78.17282343300211,0.47693551279506086,10.790114768415846,88.36424640288436
3.492828117496102,0.4810379592936526,14.106209866988735,78.88918205351901,0.47700097908254246,10.703392022066593,89.27021113045933
3.492046074007944,0.48088341781308597,14.074389724571393,79.50997126783817,0.47705401812566645,10.631590957164542,90.10966665855838
3.4912714777342555,0.48082698303463217,13.84045539294416,79.43000844451427,0.47791166540487173,10.756127897494924,91.85894091557559
3.4905033021377774,0.6180819018071811,13.836454631025711,79.99987251842073,0.48153876686893676,10.631321196519531,92.81695099019532
3.489732682964945,0.7489291675401774,13.937989013877345,79.99983405193129,0.49201603527932747,10.487137732439788,93.91738887499741
3.4891074861243765,0.8738233909664582,14.036934534062357,79.9998383034223,0.5084948235473814,10.377364676256708,94.84360751474921
3.488912563126407,0.9933258922406171,14.133579123391794,79.99984321572651,0.5303677275379196,10.295946961396643,95.62443109195851
3.4954444389036365,1.1072365983007029,14.228269636760812,79.99998172333298,0.5570689307474724,10.221254926495895,96.38487845487828
3.515647893682281,1.2156429649457994,14.411869664203456,79.59073002905272,0.5882354161237703,10.152492175962985,97.1283376041074
3.557737262205973,1.3188710746421277,14.834955054788688,78.16820276232122,0.6236867940014406,10.12451509836475,97.64310110012794
