Irradiance[W· m^{−2}],CO2[kg·m^{−3}],Temperature[^oC],Humidity[kg·m^{−3}],Relative Humidity[%]
0.0,0.0007779806763762062,9.5,0.008079105250771384,88.9808994437576
0.0,0.0007775474278608155,9.65750000000489,0.008264593330263676,90.11887565377111
0.0,0.0007771558161450992,9.799999999329449,0.008419284674547313,90.98051253204606
0.0,0.0007768446620286426,9.913333333008302,0.008529936159910996,91.51741651385194
0.0,0.0007766068803734228,10.0,0.008620197596269719,91.98032685247449
0.0,0.0007764240794444486,10.066666666503686,0.008716048857381028,92.61207030706834
0.0,0.0007763327031870598,10.1,0.008769134181316206,92.98012738355243
0.0,0.0007763327031870598,10.1,0.008769134181316206,92.98012738355243
0.0,0.0007763327031870598,10.1,0.008769134181316206,92.98012738355243
0.0,0.0007763327031870598,10.1,0.008769134181316206,92.98012738355243
0.0,0.0007763327031870598,10.1,0.008769134181316206,92.98012738355243
0.0,0.0007770191158306791,9.850000001047738,0.008632542729706193,92.99020404440994
0.0,0.0007777055284800519,9.6,0.008495951276951285,92.98005541945405
0.25675675663124253,0.00077756805180894,9.649999999999999,0.008522969847293248,92.98046853160147
0.9999999945630899,0.0007774305751378282,9.7,0.008549988417635213,92.9800698354835
12.643243186371818,0.0007775680518083639,9.650000000209547,0.008530249715058726,93.05988750377584
37.0,0.0007777055284800519,9.6,0.008495951276951285,92.98005541945405
77.45873593217458,0.0007772737504360042,9.757142856489981,0.008462149575289075,91.69225837123315
136.0,0.0007766068803734228,10.0,0.008432801996350815,89.98075452959463
219.31547996690682,0.0007761956560928169,10.15,0.008412886799520049,88.9215794060767
305.9999996127385,0.0007757849291884912,10.299999999042068,0.008403077215142996,87.9812229704492
374.6548160322384,0.0007753029643568805,10.47619047559272,0.008461263203010497,87.6123216051911
423.0,0.0007746916969446352,10.7,0.00851944919136571,86.98148991652786
449.17096768234285,0.0007734211248397976,11.16666666517655,0.008223579826836011,81.53853833202486
461.0,0.0007725144499481282,11.5,0.007927710459826364,76.9837118925135
359.01466483822907,0.000772921918067247,11.35000000006985,0.008030607211256367,78.71713703509228
218.0000004361868,0.0007736015415193318,11.100000001117587,0.00813350396268637,80.982816189467
140.98533540275065,0.0007740593963322463,10.931818182357926,0.007836853061524134,78.85613915502279
103.0,0.0007746916969446352,10.7,0.007540202157875399,76.98361751232926
124.99999990779907,0.0007769723532147148,9.868181821049868,0.007658314987962873,82.40089561216803
