Dry Weight[g/m^2],CO2 concentration[ppm],Air Temperature[^oC],Relative Humidity[%],Top CO2 concentration[ppm],Top Air Temperature[^oC],Top Relative Humidity[%]
3.5,0.5371205765710799,15.0,62.63102896351287,0.45655249008541793,13.0,88.47657843534513
9.028247546855667,0.16179523907828244,7.054186912084047,126.47931804633963,0.10791248488262446,1.8722900420492496,180.53140561410595
9.028009614423574,0.16100916344592942,7.36250171209639,126.51081958843666,0.11143285577337825,1.8464004471744884,180.31183793818147
9.027747565147783,0.1600405113946219,7.612069200866214,126.56371422092538,0.11502156692482232,1.8401429758139498,180.11103002481948
9.027465379846163,0.15888483467682127,7.822574849412531,126.56700427615488,0.11868381482351424,1.8506825375484786,179.91949133902963
9.027166038574888,0.15751796204733853,8.00015689943865,126.54732007438257,0.1224399267126205,1.876556013149671,179.71630968786326
9.026852149293807,0.1559518569176161,8.149061899565213,126.52592771624536,0.12628589971372084,1.9166616740365892,179.48518783240752
9.026526037113806,0.1542438229802105,8.272771986824166,126.51602102367991,0.1301447486740664,1.9690040193209404,179.22507415233287
9.026189758165362,0.15249584253706605,8.374769905603658,126.52162965171061,0.13389287019888244,2.030647602339687,178.9488574267852
9.02584502815429,0.1508352321515797,8.4598278978788,126.53209883091515,0.1374131827348095,2.0985802043625754,178.672108113591
9.025492987517715,0.14937715982213298,8.53640687995185,126.50782237975353,0.14060358746816898,2.169452048680854,178.41473459651073
9.025133765785919,0.1482158898119028,8.618737025325302,126.36828103721514,0.14338838680374075,2.240086922748007,178.19767097237843
9.024766654365909,0.14747703186966,8.710994431089844,126.11089774467001,0.1456070549741896,2.2996083397974267,178.14185472057244
9.024392105385786,0.14723139443238534,8.783876111683586,125.9740198229441,0.14716932195249655,2.343980463775806,178.29252615497728
9.024045208225177,0.14736703949298624,8.808153244386762,126.16322296402922,0.1481961721310893,2.381482307886379,178.53731904132556
9.023841484323686,0.14765660123211757,8.775111776158713,126.71369806577242,0.1488889995539581,2.4179087543951883,178.77822678261964
9.029862796160863,0.14733223338062576,8.695855986150796,127.52295138376874,0.14930451005920645,2.4590410219093335,178.9106048051931
9.048755178836402,0.14573266037743363,8.593747726339837,128.4084490662057,0.14937206788064372,2.506381869608716,178.88361095984965
9.079028503462236,0.14339322220346493,8.50660315997436,129.0779309074128,0.14881693876364605,2.5523880753610104,178.793450657995
9.116543980970494,0.14094288891205461,8.468977385652517,129.2949624245359,0.14757753822952155,2.5879676575753483,178.77682377654656
9.158714115034455,0.138554010135555,8.501866389136831,128.97487123033892,0.14584762861426437,2.6163905903670837,178.81839023883975
9.203432938334979,0.1362883945242001,8.59656281483695,128.27165486112153,0.1438403363905602,2.651187986790986,178.77118866683057
9.249525974488561,0.13416234581259479,8.7249268801405,127.44445949400675,0.14170486476212052,2.70427777045653,178.51084558196519
9.296414255849063,0.13220184468045956,8.861817474399501,126.67147095912577,0.13950241407793249,2.7815346184307828,177.9945162429599
9.343685132423534,0.13043558901435084,8.992192365430805,126.02003082670072,0.137169169799384,2.881750459091669,177.2611016081713
9.391130933253317,0.12887562175222952,9.113544689698303,125.46917029894674,0.13482092171184332,2.990759956961506,176.48416572195757
9.43695273386457,0.12768766640677526,9.17532152897647,125.31679199453617,0.1327937761007952,3.0548022509448196,176.21250150118627
9.47872708680897,0.12719421332022374,9.170171352178446,125.53917697663182,0.13121870866586563,3.0635696773500722,176.51233459386194
9.515984911168223,0.12743738604306304,9.136244999879766,125.86230502163782,0.12998484955759984,3.0496313642668857,176.99266094093528
9.549494903383719,0.12823781341676152,9.090689164037805,126.19692076974889,0.12916543661913676,3.0308884414413826,177.4317413451593
9.585732853221584,0.12900367709767174,9.062368664583722,126.37954387731926,0.12896128779472443,3.012351155111387,177.77380672083947
9.624427235494519,0.13040918008399427,9.052860315851365,126.41163578763262,0.12934700754087328,2.988561507328301,178.10383285707167
9.662208703021332,0.1339273094317455,9.043291556766665,126.41765003929596,0.13001986933633314,2.956216672084061,178.49073492315947
9.696918998752832,0.14233941821930832,9.032969245632566,126.39919647701741,0.13169682039065167,2.911612413034485,178.9874953985298
9.726220899160234,0.1633232650029164,9.027325920299369,126.32833155591344,0.13626310115844298,2.8548746579814304,179.5849575962015
9.743868659425843,0.20186987467703957,9.022743766356518,126.24909303863103,0.1462441934084178,2.791368597747262,180.23413931275897
9.748187711739037,0.2296537805568969,9.014352293839343,126.21577679989232,0.1613546782553569,2.730061622595454,180.83691265128763
9.747681384458451,0.24369610541559264,9.003931894130572,126.21765846701436,0.17834386347009892,2.6777048011952265,181.3183486391452
9.747176055224086,0.2513955156826849,8.996725640982948,126.20994162197023,0.19449271369813353,2.636725987817929,181.66552869034348
9.746671407995507,0.256406907400996,8.992524623030684,126.19179983023754,0.20888546092426008,2.605323901478051,181.90412041950356
9.746167154247514,0.26026516116645915,8.99095834481666,126.16626306944003,0.22143647687687368,2.580813463285678,182.06268086214536
9.745663042321112,0.2636241586699098,8.99184822489278,126.13447755844174,0.23230136571679816,2.56339940851922,182.1387141768194
9.745158832994536,0.2667421307207948,8.995271905389583,126.09663702601937,0.24174131693955284,2.5550150362717576,182.10668478505997
9.744654277597078,0.2696946366797556,9.00133164082534,126.0534882483845,0.25002960655359974,2.5561966410219203,181.9576683342403
9.744149116673112,0.27246619850839815,9.010188132241874,126.00597714866362,0.25740791236747296,2.567363883655661,181.68529177401146
9.74364307651107,0.27499549047251304,9.02210881103857,125.95587479096963,0.2641242467263204,2.590675841982273,181.25685851664426
