Dry Weight[g/m^2],CO2 concentration[ppm],Air Temperature[^oC],Relative Humidity[%],Top CO2 concentration[ppm],Top Air Temperature[^oC],Top Relative Humidity[%]
3.5,0.5371205765710799,15.0,62.63102896351287,0.45655249008541793,13.0,88.47657843534513
3.499166011553013,0.5321381381218772,14.97518068902229,65.87594104247653,0.4284984260063709,11.730908307541354,81.00819461559827
3.498350125247876,0.4845952783203991,14.39898093263488,70.05425043105978,0.4741801199812914,11.908607923944173,80.70884053539675
3.497561505968579,0.47941615550059535,13.989594913480845,72.78272052357495,0.4779965078979869,11.929024050777778,81.65113037479074
3.4968111414762135,0.5561447327341429,13.108006540845816,77.13088401238728,0.5388079987010547,12.384771369579333,80.50738377822434
3.4960943959990236,0.6212017443618728,12.625195094364194,79.85890030527202,0.6119108864822732,12.418648982226655,80.83673047684843
3.4953932625256328,0.6903529647465877,12.388924832276778,81.34023522895458,0.6815386937692484,12.240216965557746,82.05962953039658
3.4947026449945398,0.7593761702686075,12.188496646371956,82.57331750776531,0.7511549341912844,12.064982935732708,83.1872895815098
3.494020991439378,0.8288054715560905,12.013441814410207,83.61761518191646,0.8202131829381054,11.896219371342022,84.21526807228634
3.4933473662092824,0.8980517859460432,11.852507461577385,84.53420581454725,0.8892659442137828,11.742763853965682,85.10719120681244
3.4926810407918487,0.9671712165865154,11.704732382873841,85.33357649946998,0.9582693404425195,11.60294938924941,85.87690315503863
3.4920213495222323,1.036189829027774,11.569265780950554,86.02536422402518,1.027209161301277,11.475277029723737,86.53759487714996
3.491367949783245,1.1050465189912153,11.430689704937377,86.69449915596233,1.0960450852972652,11.330218551813362,87.25225763766167
3.4907211187251455,1.1737424055698316,11.283059743376027,87.37332214328863,1.164721931960406,11.175889788794603,87.97867248281051
3.4902315327485622,1.2423613418347639,11.145157938091822,87.96295459747401,1.233287167712304,11.047996194598722,88.5227478295273
3.490183360027252,1.3109087021181152,11.025431003785517,88.4232232923324,1.3017933995234112,10.937357673547366,88.93988612957087
3.4968765725921167,1.3795089017298672,11.019568873553487,88.24951238617514,1.370321274629266,10.878191903558546,89.06173687985331
3.51724854393642,1.4524745257992444,11.903318225973198,83.5099488186664,1.4417752838623787,11.207831524272947,87.1978738042091
3.5595599025336306,1.523953044132028,12.522239117522561,80.6046171386198,1.5100068237197164,11.618145278007757,85.19764617299707
3.632374106914234,1.58750318733343,12.710885587167775,80.00583062835877,1.5751054130334197,12.000357945958234,83.53678004776529
3.7464205216473037,1.5757547648820538,13.196893336043676,78.080979599805,1.5766817500308636,12.44987977301022,81.68552871327931
3.9026959398038445,1.569458250504496,13.94929385349641,75.18889632616623,1.5706077185500846,13.08262654023272,79.19504398103538
4.095255335403266,1.5617913531138434,14.857739846794264,72.02198790598541,1.5631398443489448,13.872991484454433,76.34657108641598
4.3183267467087125,1.5526282500345472,15.83989123668947,69.02870610280225,1.5541390264958355,14.765913492554878,73.50053488761162
4.565039598392173,1.54203214262776,16.833704305560357,66.47067352869722,1.5436578597495936,15.71953382813629,70.87677097013353
4.830687915322502,1.5299840283295487,17.78059629074304,64.52281775836522,1.5316407095056728,16.67625046748153,68.7006546753368
5.059517006214946,1.5177628177345954,18.248554159660596,64.61816799968591,1.519100443754383,17.322896452349237,68.05892895153778
5.214772816614302,1.5072790788158823,18.16732654411303,66.74484486198926,1.5080377180802342,17.54507338544182,69.08929302388941
5.321826793397123,1.4982378759192063,17.801737659671627,69.78534228495046,1.4984964696459822,17.535377739579527,70.82637379037955
5.4027974371283385,1.4908311992588381,17.482936001646717,72.50068886535763,1.4910163897718836,17.247275817744704,73.46483451665519
5.50127381656023,1.482565109506352,17.212083677072926,74.83181914097734,1.4827993967963427,16.94688714853456,75.9749730189548
5.617472662584016,1.4732773794608542,16.947721138030502,76.96639691820725,1.4735614014396075,16.649622101265127,78.3095001028505
5.718819732791317,1.4644195931040938,16.57736480530758,79.40677728210693,1.4646618665523456,16.293252569492783,80.74116566805097
5.791902589704759,1.4566997863214466,16.085704614930382,82.22812555801298,1.4568630841243666,15.831507435000416,83.47920604016615
5.837222026673333,1.4508619751514922,15.642240274898542,84.6450548414842,1.4510567702073776,15.142486331628188,87.22952551300452
5.858505693692684,1.4456317866083985,15.011853564676086,87.79630191687573,1.4456813051244162,14.510597679879822,90.53755828329531
5.864559210194359,1.329079903096613,14.263531398030342,87.67916808079524,1.3141803940699508,13.648102879089137,90.53550001520054
5.863266807065495,1.2148528360069388,13.466047469817063,87.72753213554648,1.2011329363359107,12.89549858613128,90.37727893332641
5.862041125980723,1.1221312869477962,12.742954064957916,87.80200048064835,1.111054468280899,12.23066896591284,90.20257665431807
5.860872559014069,1.0476846374557789,12.094602587146735,87.87205326933052,1.0387607250928488,11.635809603253994,90.03993779986368
5.859753282756646,0.982641094855255,11.502610542605462,87.91096379131726,0.9747781651180066,11.080041495503401,89.92296837952793
5.85867746529553,0.924954667896465,10.956878420467389,87.94842884442924,0.917965267241704,10.56710201991243,89.81923359014463
5.857640089350083,0.8739055026092017,10.458516091676065,87.99682907916522,0.86771003124687,10.104035374142917,89.71360037352969
5.856636503346875,0.8286748484626847,10.006080439339396,88.0447380634614,0.8231738367297913,9.68444867632274,89.6166364543689
5.855662613403028,0.7905027533560324,9.59629171103445,88.08948849457205,0.785865351948783,9.305237700273416,89.52439461242848
5.8547148083301215,0.758669047101985,9.227006748057331,88.13226651505396,0.7547885258310401,8.964794506067033,89.43718864623402
5.8537849527513295,0.7421005404451353,9.03928807076659,87.98637756542189,0.7401349540960669,8.754384332639145,89.52860143049746
